[][].Regions,[][].Number of confirmed cases, on March 31, 1 p.m.
*: The significant increase in confirmed cases is explained by the fact that since March 22	 2020	 cases tested positive by hospital laboratories are now considered confirmed. They no longer need validation by the Laboratoire de santé publique du Québec (LSPQ).(Source: Québec's public health departments	 compilation by INSPQ	 March 30	 2020	 9 p.m.),
01 - Bas-Saint-Laurent,13
02 - Saguenay – Lac-Saint-Jean,31
03 - Capitale-Nationale,213
04 - Mauricie-et-Centre-du-Québec,215
05 - Estrie,365
06 - Montréal,1 991
07 - Outaouais,50
08 - Abitibi-Témiscamingue,34
09 - Côte-Nord,30
10 - Nord-du-Québec,1
11 - Gaspésie-Îles-de-la-Madeleine,37
12 - Chaudière-Appalaches,117
13 - Laval,272
14 - Lanaudière,249
15 - Laurentides,199
16 - Montérégie,341
17 - Nunavik,1
18 - Terres-Cries-de-la-Baie-James,3
Total,4 162
