[][].0,[][].1,[][].2,[][].3,[][].4,[][].5,[][].6,[][].7,[][].8,[][].9,[][].10,[][].Regions,[][].Number of confirmed cases, on March 19, 1 p.m.
,Feb			  MAR			  Apr												  			  19			  												  2019			  2020			  2021,Feb,MAR,Apr,,19,,2019,2020,2021,1. Person who doesn't live in Québec	 but who was on the territory and has been tested in Québec.2. Region of residence unknown. More information to come.,
Feb,MAR,Apr,,,,,,,,,01 - Bas-Saint-Laurent,1
,19,,,,,,,,,,03 - Capitale Nationale,10
2019,2020,2021,,,,,,,,,04 - Mauricie - Centre du Québec,3
37 captures		      19 Mar 2020 - 31 Mar 2020,,Apr,,,,,,,,,05 - Estrie,26
Feb,MAR,,,,,,,,,,06 - Montréal,28
,19,2021,,,,,,,,,07 - Outaouais,1
2019,2020,,,,,,,,,,12 - Chaudière-Appalaches,6
,,,,,,,,,,,13 - Laval,1
,,,,,,,,,,,14 - Lanaudière,7
,,,,,,,,,,,15 - Laurentides,9
,,,,,,,,,,,16 - Montérégie,19
,,,,,,,,,,,Outside Québec1,2
,,,,,,,,,,,To be determined2,8
,,,,,,,,,,,Total,121
